neighborhoods,year,count
Tenderloin,2002 ,85
Portola,1997 ,21
Outer Richmond,1997 ,140
Potrero Hill,2014 ,35
Treasure Island,2010 ,5
Noe Valley,2003 ,53
CastroUpper Market,1997 ,153
Outer Mission,2016 ,44
Excelsior,2001 ,82
Western Addition,2010 ,18
Financial DistrictSouth Beach,2008 ,3
Twin Peaks,2004 ,13
Chinatown,2014 ,29
Bayview Hunters Point,2010 ,45
Nob Hill,2015 ,66
Noe Valley,2010 ,31
Twin Peaks,2005 ,22
Excelsior,2000 ,67
Treasure Island,2003 ,4
Bayview Hunters Point,2003 ,38
Haight Ashbury,2007 ,47
Marina,2008 ,40
Western Addition,2003 ,18
SunsetParkside,2012 ,121
OceanviewMercedIngleside,2015 ,46
Inner Richmond,1997 ,115
Western Addition,2011 ,17
Lakeshore,1999 ,61
Russian Hill,2016 ,45
Bayview Hunters Point,2011 ,36
Mission,1999 ,287
South of Market,1998 ,44
South of Market,2002 ,33
Presidio Heights,2008 ,19
Tenderloin,2007 ,162
Nob Hill,2012 ,70
North Beach,2014 ,51
West of Twin Peaks,1999 ,41
Lone MountainUSF,1998 ,67
Lone MountainUSF,2002 ,32
Inner Sunset,1998 ,107
Inner Sunset,2002 ,55
SunsetParkside,2015 ,158
OceanviewMercedIngleside,2012 ,20
Glen Park,2014 ,6
Bernal Heights,2008 ,47
Portola,1999 ,30
Noe Valley,2011 ,54
Outer Richmond,2012 ,72
Tenderloin,2005 ,185
Pacific Heights,2002 ,64
Pacific Heights,1998 ,87
Inner Richmond,2015 ,53
CastroUpper Market,2012 ,50
Noe Valley,2009 ,33
Marina,1999 ,65
Bayview Hunters Point,2009 ,44
Visitacion Valley,2016 ,34
Western Addition,2009 ,21
North Beach,2013 ,85
Financial DistrictSouth Beach,1999 ,48
SunsetParkside,1997 ,152
Tenderloin,2004 ,94
Glen Park,2013 ,11
Treasure Island,2009 ,18
Twin Peaks,2007 ,23
Inner Richmond,2012 ,38
CastroUpper Market,2015 ,75
West of Twin Peaks,2008 ,23
Outer Richmond,2015 ,133
Potrero Hill,2013 ,17
Presidio Heights,1999 ,39
Portola,2008 ,10
Bernal Heights,1999 ,70
Chinatown,2013 ,16
Japantown,2016 ,11
Haight Ashbury,2005 ,58
Nob Hill,1997 ,86
Hayes Valley,2016 ,56
Seacliff,2002 ,3
Seacliff,1998 ,2
Lakeshore,2008 ,12
Haight Ashbury,2004 ,45
Excelsior,2006 ,29
OceanviewMercedIngleside,1997 ,35
Mission,2008 ,151
Lakeshore,2015 ,82
Pacific Heights,2007 ,42
Hayes Valley,2013 ,34
Marina,1997 ,90
Inner Sunset,2005 ,40
South of Market,2004 ,30
Mission,2015 ,175
Lone MountainUSF,2005 ,21
West of Twin Peaks,2015 ,43
Chinatown,2016 ,33
CastroUpper Market,2008 ,88
Inner Sunset,2004 ,34
Lone MountainUSF,2004 ,34
South of Market,2005 ,68
Outer Richmond,2008 ,96
Japantown,2013 ,1
Excelsior,2011 ,29
Outer Mission,2014 ,35
Portola,2015 ,31
Financial DistrictSouth Beach,1997 ,7
SunsetParkside,1999 ,180
Potrero Hill,2016 ,32
Mission Bay,2009 ,3
Western Addition,2000 ,35
Lakeshore,2012 ,9
Noe Valley,2001 ,65
Glen Park,2016 ,12
Presidio Heights,1997 ,34
Bayview Hunters Point,2000 ,79
Mission,2012 ,170
Visitacion Valley,2013 ,13
Excelsior,2003 ,43
Bernal Heights,1997 ,92
Presidio,2002 ,2
Twin Peaks,2002 ,7
North Beach,2016 ,63
Twin Peaks,1998 ,16
Nob Hill,1999 ,57
Inner Richmond,2008 ,52
West of Twin Peaks,2012 ,26
Bayview Hunters Point,2001 ,62
OceanviewMercedIngleside,1999 ,35
Russian Hill,2014 ,58
McLaren Park,2007 ,1
Noe Valley,2000 ,93
Western Addition,2001 ,35
Excelsior,2010 ,20
Portola,2012 ,24
Visitacion Valley,2004 ,14
West of Twin Peaks,2006 ,33
Inner Richmond,2003 ,42
Financial DistrictSouth Beach,2000 ,19
Portola,2006 ,15
Marina,2001 ,62
Tenderloin,2016 ,157
Inner Richmond,2010 ,16
Lakeshore,2006 ,16
Marina,2000 ,68
OceanviewMercedIngleside,2009 ,77
Financial DistrictSouth Beach,2001 ,4
Russian Hill,2007 ,44
Outer Richmond,2011 ,50
Excelsior,2008 ,54
Visitacion Valley,2005 ,14
Nob Hill,2009 ,16
Mission,2006 ,184
Seacliff,2014 ,5
CastroUpper Market,2011 ,37
Presidio Heights,2001 ,33
CastroUpper Market,2003 ,86
Hayes Valley,2004 ,45
Noe Valley,1997 ,89
Outer Richmond,2003 ,55
South of Market,2013 ,124
Haight Ashbury,2016 ,48
Pacific Heights,2014 ,71
Bernal Heights,2001 ,60
SunsetParkside,2009 ,64
Outer Richmond,2010 ,50
Bernal Heights,2000 ,89
CastroUpper Market,2010 ,42
Inner Richmond,2011 ,19
Western Addition,1997 ,44
Hayes Valley,2005 ,44
Outer Mission,2007 ,22
Inner Sunset,2013 ,56
Lone MountainUSF,2013 ,36
Lincoln Park,2003 ,1
Japantown,2004 ,1
Bayview Hunters Point,1997 ,23
Presidio Heights,2000 ,51
Twin Peaks,2014 ,9
Chinatown,2004 ,19
Lakeshore,2003 ,3
SunsetParkside,2000 ,182
West of Twin Peaks,2010 ,26
Inner Sunset,2016 ,41
Lone MountainUSF,2016 ,28
Bernal Heights,2009 ,30
Presidio Heights,2009 ,12
Mission,2003 ,175
Potrero Hill,2004 ,31
Portola,2010 ,6
Excelsior,2012 ,42
West of Twin Peaks,2003 ,37
Lakeshore,2010 ,167
Russian Hill,2002 ,29
Russian Hill,1998 ,70
Inner Richmond,2006 ,40
Potrero Hill,2005 ,21
SunsetParkside,2001 ,159
Portola,2003 ,8
Chinatown,2005 ,10
Mission,2010 ,114
South of Market,2016 ,66
Haight Ashbury,2013 ,41
Marina,2009 ,12
OceanviewMercedIngleside,2000 ,58
Portola,2011 ,13
Noe Valley,1999 ,88
North Beach,2005 ,21
Nob Hill,2000 ,85
Excelsior,2015 ,88
Lincoln Park,2006 ,5
Glen Park,2005 ,6
West of Twin Peaks,2011 ,23
Mission,2011 ,126
Financial DistrictSouth Beach,2009 ,13
CastroUpper Market,2006 ,116
Nob Hill,2001 ,53
Tenderloin,2013 ,96
Outer Mission,2002 ,21
Outer Mission,1998 ,41
Glen Park,2004 ,8
Outer Richmond,2006 ,67
Lakeshore,2011 ,201
Western Addition,1999 ,48
OceanviewMercedIngleside,2001 ,51
Bayview Hunters Point,1999 ,65
North Beach,2004 ,27
